date, awayTeam, homeTeam, homeWin, spread, ou, hWRCL, hWRCR, hFRM, hOAA, hBsR, hHand, hSpxFIP, hRpxFIP, hSpIperG, aWRCL, aWRCR, aFRM, aOAA, aBsR, aHand, aSpxFIP, aRpxFIP, aSpIperG
2021-05-17,COL,SDP,1,7,7,83,96,-2.7,14.0,0.7,1,3.83,4.18,5.883,98,70,0.7,1.0,12.4,1,3.98,4.63,5.75
2021-05-17,CHW,MIN,0,-12,20,104,99,5.9,5.0,-3.1,-1,5.63,4.27,5.178,133,101,-13.4,-10.0,-0.9,-1,4.69,3.83,5.383
2021-05-17,DET,SEA,0,-3,5,70,90,-4.8,-7.0,-7.1,-1,3.32,4.18,6.286,52,85,-13.0,-16.0,1.2,1,4.86,4.69,5.438
2021-05-17,NYY,TEX,1,3,7,89,97,16.7,28.0,-1.8,1,5.05,4.43,4.75,101,93,3.0,-22.0,-15.1,1,2.04,3.78,6.508
2021-05-18,WSN,CHC,1,3,9,102,89,-4.3,11.0,-8.6,1,5.81,4.26,4.379,108,85,-6.8,-27.0,-25.4,-1,4.64,4.75,5.148
2021-05-18,SFG,CIN,0,-2,6,78,104,1.4,-36.0,-15.1,1,4.35,4.34,4.629,103,93,5.5,27.0,-6.4,1,3.64,4.2,5.754
2021-05-18,COL,SDP,1,1,3,82,98,-2.7,14.0,0.7,-1,3.58,4.18,4.254,98,67,0.7,1.0,12.4,-1,4.49,4.63,4.879
2021-05-18,PIT,STL,1,3,7,121,84,-7.9,49.0,11.7,1,5.3,4.65,4.862,73,80,7.2,-8.0,-3.9,1,3.42,4.67,5.433
2021-05-18,CLE,LAA,0,-1,11,94,98,3.9,-24.0,6.8,-1,3.03,4.38,5.143,75,85,2.2,20.0,7.4,1,4.25,3.96,6.0
2021-05-18,TBR,BAL,0,-7,19,98,74,-21.3,-33.0,-6.2,1,4.66,4.76,4.879,83,100,5.1,32.0,11.2,1,5.1,3.98,3.033
2021-05-18,HOU,OAK,1,1,11,110,90,9.0,20.0,11.8,-1,3.72,4.69,5.375,114,108,0.8,42.0,-6.2,1,4.15,4.19,5.429
2021-05-18,DET,SEA,0,-5,5,69,89,-4.8,-7.0,-7.1,1,6.47,4.18,4.833,54,85,-13.0,-16.0,1.2,1,4.29,4.69,5.007
2021-05-18,NYY,TEX,0,-3,11,89,98,16.7,28.0,-1.8,1,4.64,4.43,5.625,99,93,3.0,-22.0,-15.1,1,3.68,3.78,4.719
2021-05-18,BOS,TOR,1,8,8,94,96,5.0,-13.0,2.8,-1,3.28,4.22,5.581,111,103,0.4,-39.0,-4.4,-1,3.36,4.23,5.571
2021-05-19,NYM,ATL,1,1,9,77,94,-0.4,5.0,5.4,1,3.81,4.36,4.875,99,90,2.2,24.0,-13.5,-1,3.22,4.15,4.719
2021-05-19,WSN,CHC,0,-1,7,104,91,-4.3,11.0,-8.6,1,5.1,4.26,5.29,106,85,-6.8,-27.0,-25.4,1,3.06,4.75,6.379
2021-05-19,SFG,CIN,0,-4,4,75,104,1.4,-36.0,-15.1,-1,3.42,4.34,5.571,104,93,5.5,27.0,-6.4,1,3.29,4.2,6.633
2021-05-19,MIA,PHI,0,-2,4,94,84,6.2,-20.0,7.8,1,3.13,4.27,6.379,90,78,1.7,-11.0,0.4,-1,3.52,4.29,5.5
2021-05-19,PIT,STL,1,3,13,120,85,-7.9,49.0,11.7,1,3.91,4.65,5.879,73,78,7.2,-8.0,-3.9,1,3.77,4.67,4.867
2021-05-19,CLE,LAA,0,-1,5,94,98,3.9,-24.0,6.8,1,3.66,4.38,5.013,80,82,2.2,20.0,7.4,1,4.26,3.96,6.625
2021-05-19,TBR,BAL,0,-2,16,100,74,-21.3,-33.0,-6.2,-1,3.64,4.76,6.5,83,106,5.1,32.0,11.2,-1,4.08,3.98,5.517
2021-05-19,MIL,KCR,1,2,10,79,86,-17.3,23.0,13.2,1,4.83,4.5,4.129,91,71,12.5,-18.0,8.5,1,1.32,4.05,5.672
